product_name,category,quantity_sold,unit_price,date_of_sale
Jacket,Clothing,26,120,2026-01-01
Sofa,Furniture,28,800,2026-01-02
Shampoo,Beauty,4,25,2026-01-04
Shirt,Clothing,27,45,2026-01-05
Cream,Beauty,9,35,2026-01-06
Laptop,Electronics,25,2500,2026-01-07
Shampoo,Beauty,11,25,2026-01-08
Table,Furniture,20,350,2026-01-09
Phone,Electronics,1,1200,2026-01-12
Laptop,Electronics,13,2500,2026-01-13
Shirt,Clothing,5,45,2026-01-14
Mat,Sports,11,60,2026-01-14
Shampoo,Beauty,24,25,2026-01-15
Ball,Sports,4,30,2026-01-20
Mat,Sports,26,60,2026-01-21
Ball,Sports,12,30,2026-01-21
Shoes,Clothing,12,90,2026-01-27
Jacket,Clothing,5,120,2026-01-28
Jacket,Clothing,3,120,2026-01-28
Lipstick,Beauty,18,40,2026-01-29
Table,Furniture,12,350,2026-01-29
Laptop,Electronics,28,2500,2026-01-30
Lipstick,Beauty,9,40,2026-02-01
Headphone,Electronics,18,150,2026-02-01
Chair,Furniture,17,180,2026-02-02
Chair,Furniture,5,180,2026-02-03
Laptop,Electronics,18,2500,2026-02-07
Shirt,Clothing,25,45,2026-02-07
Elastic Band,Sports,19,15,2026-02-10
Lipstick,Beauty,14,40,2026-02-13
Shoes,Clothing,28,90,2026-02-14
Elastic Band,Sports,28,15,2026-02-16
Laptop,Electronics,30,2500,2026-02-18
Ball,Sports,4,30,2026-02-18
Headphone,Electronics,15,150,2026-02-18
Mat,Sports,11,60,2026-02-21
Lipstick,Beauty,18,40,2026-02-23
Laptop,Electronics,19,2500,2026-02-24
Shirt,Clothing,21,45,2026-03-05
Headphone,Electronics,17,150,2026-03-05
Shirt,Clothing,8,45,2026-03-06
Lipstick,Beauty,15,40,2026-03-10
Shampoo,Beauty,24,25,2026-03-11
Cream,Beauty,1,35,2026-03-13
Headphone,Electronics,8,150,2026-03-13
Sofa,Furniture,9,800,2026-03-16
Table,Furniture,29,350,2026-03-16
Shirt,Clothing,15,45,2026-03-17
Table,Furniture,13,350,2026-03-18
Ball,Sports,21,30,2026-03-21
Jacket,Clothing,15,120,2026-03-23
Laptop,Electronics,20,2500,2026-03-23
Jacket,Clothing,30,120,2026-03-23
Elastic Band,Sports,22,15,2026-03-24
Table,Furniture,29,350,2026-03-24
Shirt,Clothing,23,45,2026-03-25
Laptop,Electronics,2,2500,2026-03-26
Shampoo,Beauty,6,25,2026-03-29
Shampoo,Beauty,9,25,2026-03-31
Cream,Beauty,7,35,2026-04-01
